Date,Prix,Variation 24h
2013-12-30,1 BTC = 547.63000000€,-3.34%
2013-12-31,1 BTC = 556.17000000€,1.54%
2014-01-01,1 BTC = 567.19000000€,1.94%
2014-01-02,1 BTC = 566.94000000€,-0.04%
2014-01-03,1 BTC = 569.83000000€,0.51%
2014-01-04,1 BTC = 599.98000000€,5.03%
2014-01-05,1 BTC = 616.11000000€,2.62%
2014-01-06,1 BTC = 647.58000000€,4.86%
2014-01-07,1 BTC = 706.90000000€,8.39%
2014-01-08,1 BTC = 703.84000000€,-0.43%
2014-01-09,1 BTC = 631.44000000€,-11.47%
2014-01-10,1 BTC = 645.15000000€,2.13%
2014-01-11,1 BTC = 661.81000000€,2.52%
2014-01-12,1 BTC = 657.02000000€,-0.73%
2014-01-13,1 BTC = 694.96000000€,5.46%
2014-01-14,1 BTC = 669.41000000€,-3.82%
2014-01-15,1 BTC = 655.45000000€,-2.13%
2014-01-16,1 BTC = 637.92000000€,-2.75%
2014-01-17,1 BTC = 662.14000000€,3.66%
2014-01-18,1 BTC = 646.10000000€,-2.48%
2014-01-19,1 BTC = 626.76000000€,-3.09%
2014-01-20,1 BTC = 626.19000000€,-0.09%
2014-01-21,1 BTC = 650.80000000€,3.78%
2014-01-22,1 BTC = 671.96000000€,3.15%
2014-01-23,1 BTC = 676.30000000€,0.64%
2014-01-24,1 BTC = 653.83000000€,-3.44%
2014-01-25,1 BTC = 650.27000000€,-0.55%
2014-01-26,1 BTC = 627.47000000€,-3.63%
2014-01-27,1 BTC = 668.76000000€,6.17%
2014-01-28,1 BTC = 704.66000000€,5.09%
2014-01-29,1 BTC = 633.64000000€,-11.21%
2014-01-30,1 BTC = 644.67000000€,1.71%
2014-01-31,1 BTC = 655.53000000€,1.66%
2014-02-01,1 BTC = 652.39000000€,-0.48%
2014-02-02,1 BTC = 642.18000000€,-1.59%
2014-02-03,1 BTC = 650.38000000€,1.26%
2014-02-04,1 BTC = 651.06000000€,0.1%
2014-02-05,1 BTC = 651.09000000€,0%
2014-02-06,1 BTC = 650.88000000€,-0.03%
2014-02-07,1 BTC = 643.13000000€,-1.21%
2014-02-08,1 BTC = 603.43000000€,-6.58%
